center_id,name,symbol,award_number,director_name,parent_id,status_cd,create_user,create_dt,update_user,update_dt
39,"Wichita State University",WSU,2022-2026,"Sanjeev Khanna",29,active,jose,"2026-01-21 20:17:31",NULL,NULL
40,"Wichita State University",WSU,2022-2026,"Dr. Hitesh D. Vora",12,active,jose,"2026-01-21 20:17:31",NULL,NULL
41,"Cypress College",CC,2022-2026,"G.P. Li",21,active,jose,"2026-01-21 20:17:31",NULL,NULL
42,"Red Rocks Community College",RRCC,2022-2026,"Timothy R. Ohno",3,active,jose,"2026-01-21 20:17:31",NULL,NULL
43,"Florida A&M University - Florida State University",FAMU-FSU,2022-2026,"Comas Haynes",4,active,jose,"2026-01-21 20:17:31",NULL,NULL
44,"City Colleges of Chicago",CCC,2022-2026,"Lin Li",26,active,jose,"2026-01-21 20:17:31",NULL,NULL
45,"Clark Atlanta University",CAU,2022-2026,"Amin Esmaeili",6,active,jose,"2026-01-21 20:17:31",NULL,NULL
46,"University of Louisiana at Lafayette",ULL,2022-2026,"Henry E. Cardenas",9,active,jose,"2026-01-21 20:17:31",NULL,NULL
47,"Grambling State University",Gram,2022-2026,"Henry E. Cardenas",9,active,jose,"2026-01-21 20:17:31",NULL,NULL
48,"Lane Community College","Lane CC",2022-2026,"Karl Haapala",13,active,jose,"2026-01-21 20:17:31",NULL,NULL
49,"Turabo University at Gurabo / Ana G. M̩ndez University",UAGM,2022-2026,"Dr. Ramin Moghaddass",28,active,jose,"2026-01-21 20:17:31",NULL,NULL
50,"Jackson State University",JSU,2022-2026,"Wil Whittington",11,active,jose,"2026-01-21 20:17:31",NULL,NULL
51,"Henry Ford College",HFCC,2022-2026,"Kristen Cetin",10,active,jose,"2026-01-21 20:17:31",NULL,NULL
52,"Michigan Technological University",MTU,2022-2026,"Kristen Cetin",10,active,jose,"2026-01-21 20:17:31",NULL,NULL
53,"University of Memphis",UM,2022-2026,"Dr. Ethan Languri",18,active,jose,"2026-01-21 20:17:31",NULL,NULL
54,"Clarkson University",CU,2022-2026,"Dr. Jackie Anderson",17,active,jose,"2026-01-21 20:17:31",NULL,NULL
