center,bp_year,assessment_id,assessment_upload_days,assessment_upload_date,implementation_upload_days,implementation_upload_date,page,source_url
AM,2025,AM0936,97,02/06/2025,441,01/16/2026,1,https://iac.university/center/AM/internal/activity-log/BP2025
AM,2025,AM0934,89,01/01/2025,486+,,1,https://iac.university/center/AM/internal/activity-log/BP2025
AM,2025,AM0933,89,01/01/2025,486+,,1,https://iac.university/center/AM/internal/activity-log/BP2025
AM,2025,AM0932,109,12/31/2024,507+,,1,https://iac.university/center/AM/internal/activity-log/BP2025
AS,2021,AS0512,27,08/05/2021,294,04/29/2022,1,https://iac.university/center/AS/internal/activity-log/BP2021
AS,2021,AS0511,51,06/10/2021,CnC,03/30/2022,1,https://iac.university/center/AS/internal/activity-log/BP2021
AS,2021,AS0510,57,06/04/2021,329,03/03/2022,1,https://iac.university/center/AS/internal/activity-log/BP2021
AS,2021,AS0509,57,05/21/2021,334,02/22/2022,1,https://iac.university/center/AS/internal/activity-log/BP2021
AS,2021,AS0508,57,05/19/2021,336,02/22/2022,1,https://iac.university/center/AS/internal/activity-log/BP2021
AS,2021,AS0507,57,05/12/2021,318,01/28/2022,1,https://iac.university/center/AS/internal/activity-log/BP2021
AS,2021,AS0506,56,04/30/2021,337,02/04/2022,1,https://iac.university/center/AS/internal/activity-log/BP2021
AS,2021,AS0505,54,04/28/2021,337,02/04/2022,1,https://iac.university/center/AS/internal/activity-log/BP2021
AS,2021,AS0504,58,04/25/2021,333,01/24/2022,1,https://iac.university/center/AS/internal/activity-log/BP2021
AS,2021,AS0503,55,04/20/2021,330,01/19/2022,1,https://iac.university/center/AS/internal/activity-log/BP2021
AS,2021,AS0502,56,02/24/2021,309,11/05/2021,1,https://iac.university/center/AS/internal/activity-log/BP2021
AS,2021,AS0501,57,02/12/2021,312,10/26/2021,1,https://iac.university/center/AS/internal/activity-log/BP2021
AS,2021,AS0500,58,02/12/2021,313,10/26/2021,1,https://iac.university/center/AS/internal/activity-log/BP2021
AS,2021,AS0499,59,01/14/2021,261,08/05/2021,1,https://iac.university/center/AS/internal/activity-log/BP2021
AS,2021,AS0498,59,01/11/2021,354,11/03/2021,1,https://iac.university/center/AS/internal/activity-log/BP2021
AS,2021,AS0497,57,12/31/2020,270,08/02/2021,1,https://iac.university/center/AS/internal/activity-log/BP2021
AS,2021,AS0496,57,12/24/2020,278,08/02/2021,1,https://iac.university/center/AS/internal/activity-log/BP2021
AS,2022,AS0541,60,02/13/2023,328,11/08/2023,1,https://iac.university/center/AS/internal/activity-log/BP2022
AS,2022,AS0540,60,02/11/2023,320,10/30/2023,1,https://iac.university/center/AS/internal/activity-log/BP2022
AS,2022,AS0539,51,01/13/2023,340,10/30/2023,1,https://iac.university/center/AS/internal/activity-log/BP2022
AS,2022,AS0538,56,01/13/2023,CnC,11/14/2023,1,https://iac.university/center/AS/internal/activity-log/BP2022
AS,2022,AS0537,55,01/04/2023,293,08/31/2023,1,https://iac.university/center/AS/internal/activity-log/BP2022
AS,2022,AS0536,54,01/02/2023,CnC,10/10/2023,1,https://iac.university/center/AS/internal/activity-log/BP2022
AS,2022,AS0535,49,12/23/2022,306,09/06/2023,1,https://iac.university/center/AS/internal/activity-log/BP2022
AS,2022,AS0534,58,12/16/2022,338,09/22/2023,1,https://iac.university/center/AS/internal/activity-log/BP2022
AS,2022,AS0533,58,11/24/2022,331,08/24/2023,1,https://iac.university/center/AS/internal/activity-log/BP2022
AS,2022,AS0532,59,11/21/2022,308,07/28/2023,1,https://iac.university/center/AS/internal/activity-log/BP2022
AS,2022,AS0531,60,11/22/2022,308,07/28/2023,1,https://iac.university/center/AS/internal/activity-log/BP2022
AS,2022,AS0530,60,10/25/2022,356,08/17/2023,1,https://iac.university/center/AS/internal/activity-log/BP2022
AS,2022,AS0529,55,09/21/2022,329,06/22/2023,1,https://iac.university/center/AS/internal/activity-log/BP2022
AS,2022,AS0528,57,09/14/2022,CnC,08/08/2023,1,https://iac.university/center/AS/internal/activity-log/BP2022
AS,2022,AS0527,59,09/09/2022,343,06/20/2023,1,https://iac.university/center/AS/internal/activity-log/BP2022
